listing_id,district,latitude,longitude,area_m2,bedrooms,bathrooms,floor,has_parking,has_elevator,is_furnished,building_age_years,dist_to_station_km,posted_date,price_pen
LIM-00001,San Miguel,-12.0925271282256,-77.09351278297187,69.5,1,2,4,False,True,False,38,7.665,2026-07-10,2050.0
LIM-00002,Magdalena del Mar,-12.09079568066728,-77.09688497566091,67.2,3,1,10,True,True,False,17,7.859,2026-03-19,2700.0
LIM-00003,Chorrillos,-12.173327810682153,-77.02883672226754,81.9,2,2,5,False,False,False,8,1.337,2026-03-01,2650.0
LIM-00004,Pueblo Libre,-12.069074410188268,-77.07457760799365,115.4,4,3,3,True,False,False,8,4.567,2026-06-21,4600.0
LIM-00005,Miraflores,-12.11544098230585,-77.03319833342168,87.2,2,2,12,True,False,True,14,2.124,2026-07-11,7050.0
LIM-00006,Ate,-12.057604049413015,-76.91096582853864,91.0,3,2,4,False,False,False,25,10.897,2026-02-13,1450.0
LIM-00007,San Miguel,-12.089106338148177,-77.0706129259531,102.5,2,2,2,False,False,False,3,5.537,2026-06-11,4800.0
LIM-00008,Surquillo,-12.106120874390795,-77.03467374953902,65.6,2,2,7,False,False,False,12,2.609,2026-08-01,2800.0
LIM-00009,Miraflores,-12.128652135326773,-77.03521732876304,85.3,2,1,8,False,True,False,11,2.201,2026-03-05,5550.0
LIM-00010,Magdalena del Mar,-12.128501781904061,-77.08645177023493,81.9,2,1,3,False,False,True,15,7.715,2026-08-07,3000.0
LIM-00011,Surco (Santiago de Surco),-12.127214936425393,-77.01021575353788,114.7,4,3,9,False,False,False,21,0.526,2026-02-25,5250.0
LIM-00012,San Martín de Porres,-12.011335135456825,-77.07945462776068,78.1,2,1,5,False,False,False,27,2.687,2026-07-07,1900.0
LIM-00013,Lince,-12.079494369465138,-77.03328224010575,47.2,1,1,8,True,False,False,8,2.147,2026-03-30,2450.0
LIM-00014,Surquillo,-12.097986137808196,-77.039265628165,86.9,2,1,6,True,True,True,15,3.115,2026-06-06,3600.0
LIM-00015,Magdalena del Mar,-12.095298850512856,-77.07548219366466,126.3,3,2,5,False,False,False,3,6.403,2026-08-02,6450.0
LIM-00016,Barranco,-12.137450810020038,-77.03586475191493,49.4,1,1,6,False,True,False,23,2.227,2026-03-06,2250.0
LIM-00017,San Borja,-12.106454427833565,-76.99845806737038,95.3,3,1,5,False,True,False,11,1.369,2026-04-06,5350.0
LIM-00018,San Isidro,-12.078150848062307,-77.02146604208153,73.6,2,1,20,False,True,False,17,0.856,2026-03-12,4450.0
LIM-00019,Surquillo,-12.127445285305084,-77.01194318446709,86.2,3,2,4,False,False,False,3,0.366,2026-02-23,3900.0
LIM-00020,Jesús María,-12.073698579764999,-77.04686979486712,86.6,2,1,2,False,False,False,14,2.637,2026-05-05,3350.0
LIM-00021,San Miguel,-12.069322060739504,-77.09914518908884,226.2,5,4,3,False,False,False,7,7.099,2026-06-24,
LIM-00022,Surco (Santiago de Surco),-12.13728494108412,-76.99419758818986,86.3,2,1,5,False,True,False,13,2.368,2026-05-26,4150.0
LIM-00023,Ate,-12.032573372040169,-76.90924094933303,150.5,4,2,6,False,False,False,9,10.361,2026-02-25,2900.0
LIM-00024,Los Olivos,-11.974084474474129,-77.0659300038863,148.5,4,3,10,False,True,True,11,0.397,2026-07-28,5750.0
LIM-00025,San Miguel,-12.052567546180454,-77.09399062516576,92.5,2,1,9,True,False,False,1,6.284,2026-08-06,4700.0
LIM-00026,Miraflores,-12.095633629948733,-77.02679148411274,75.9,2,1,12,True,True,False,45,1.75,2026-06-25,5200.0
LIM-00027,Magdalena del Mar,-12.092115136045273,-77.0914987418405,80.4,2,1,13,False,True,False,13,7.46,2026-04-17,4200.0
LIM-00028,San Isidro,-12.090568785835746,-77.04551204129733,85.3,2,1,15,True,True,False,24,3.745,2026-05-09,6100.0
LIM-00029,Miraflores ,-12.106799942772504,-77.02090928296944,107.8,3,2,16,True,True,True,16,1.166,2026-03-30,9850.0
LIM-00030,Lince,-12.099346368787609,-77.0231956045835,51.4,1,1,4,True,False,False,1,1.415,2026-07-10,
LIM-00031,San Miguel,-12.093144000174934,-77.09167681690992,74.1,3,2,3,False,False,False,14,7.544,2026-06-02,3050.0
LIM-00032,Ate,-12.031322973033708,-76.89825241118761,84.1,2,2,2,False,False,True,2,11.431,2026-04-17,2750.0
LIM-00033,Surco (Santiago de Surco),-12.131712138325524,-76.98890376700247,54.7,1,1,6,False,True,True,7,2.894,2026-08-09,2550.0
LIM-00034,surco (santiago de surco),-12.137718062951757,-76.99779753021436,125.1,3,2,16,False,False,False,12,1.992,2026-03-18,5500.0
LIM-00035,Magdalena del Mar,-12.095366520365426,-77.09033703303649,109.6,3,2,5,True,True,True,9,7.581,2026-03-19,7000.0
LIM-00036,Miraflores,-12.149732497668369,-77.01213520099965,61.2,1,1,6,False,False,False,4,0.502,2026-07-18,
LIM-00037,Miraflores,-12.123386747773484,-77.02015619051414,104.3,4,2,20,True,True,True,4,0.637,2026-05-05,9850.0
LIM-00038,Magdalena del Mar,-12.104536560870319,-77.05412026292483,47.0,2,1,8,False,False,False,22,4.622,2026-04-30,2800.0
LIM-00039,Barranco,-12.13838314039662,-76.99539783053395,70.5,2,1,7,False,False,True,25,2.243,2026-03-04,4400.0
LIM-00040,Lince,-12.073159630659392,-77.04874328368139,65.3,2,2,3,True,True,True,18,2.681,2026-05-24,3550.0
LIM-00041,Magdalena del Mar,-12.08857983719044,-77.09111200492953,80.2,3,2,3,False,False,False,26,7.2,2026-07-17,2750.0
LIM-00042,Surquillo,-12.10995449621441,-77.05185839895083,66.7,2,1,9,False,False,False,45,4.226,2026-05-15,2450.0
LIM-00043,Pueblo Libre,-12.091568160984645,-77.05207965435565,73.2,2,2,2,False,False,False,14,4.451,2026-07-03,2900.0
LIM-00044,Surco (Santiago de Surco),-12.127912283040038,-76.98712220775015,83.9,2,1,7,False,False,False,22,3.019,2026-07-28,3750.0
LIM-00045,Surquillo,-12.107147224653719,-77.01632665199848,62.8,2,1,11,True,True,False,11,0.684,2026-03-27,3600.0
LIM-00046,Surquillo,-12.099757688154774,-77.03221359877251,100.5,3,3,4,False,False,False,5,2.38,2026-04-12,4050.0
LIM-00047,La Molina,-12.061381482250837,-76.9462684042695,91.4,3,3,8,False,True,True,2,7.175,2026-04-15,7200.0
LIM-00048,Surco (Santiago de Surco),-12.15531072808286,-76.99278353405991,195.5,5,4,5,False,True,False,33,2.618,2026-04-14,11300.0
LIM-00049,Lince,-12.089761721907418,-77.02390729199745,55.5,1,1,16,False,False,False,6,1.585,2026-04-05,2300.0
LIM-00050,Miraflores,-12.130007199645892,-77.02612415702642,81.0,2,1,11,False,False,False,0,1.213,2026-06-15,4900.0
LIM-00051,Miraflores,-12.119029913739379,-77.02143438446011,90.0,3,2,17,False,True,False,7,0.843,2026-03-07,6350.0
LIM-00052,San Isidro,-12.097039177701385,-77.03818957043896,77.4,2,1,10,True,False,True,11,2.992,2026-05-25,8300.0
LIM-00053,Surquillo,-12.117508984876961,-77.0033222172729,101.2,3,3,6,True,False,False,45,1.139,2026-07-09,3800.0
LIM-00054,Lince,-12.072768747663186,-77.02571923907068,81.0,2,2,8,False,False,False,14,1.436,2026-03-09,2950.0
LIM-00055,Pueblo Libre,-12.086816970534171,-77.07734319684842,70.2,2,2,5,False,False,False,9,5.887,2026-04-15,2950.0
LIM-00056,San Miguel,-12.089893457608712,-77.07612935558812,121.0,3,2,9,True,False,False,23,6.019,2026-05-26,4150.0
LIM-00057,Magdalena del Mar,-12.107790703253176,-77.06099314172742,56.4,1,1,6,False,False,False,12,5.248,2026-05-27,2150.0
LIM-00058,Jesús María,-12.077923931049112,-77.04341430315537,66.8,2,1,9,False,False,False,10,2.945,2026-02-16,2550.0
LIM-00059,Miraflores,-12.135843082590942,-77.02603138754014,89.8,3,2,17,False,True,False,18,1.144,2026-07-22,7250.0
LIM-00060,Miraflores,-12.121682857865592,-77.00949666117346,96.9,4,3,10,True,False,True,9,0.644,2026-02-24,11350.0
LIM-00061,Lince,-12.087085882335572,-77.05289975439526,75.4,2,1,4,False,False,False,34,4.263,2026-08-01,2250.0
LIM-00062,Magdalena del Mar,-12.104938181367988,-77.06080530571128,74.9,2,1,12,False,True,False,33,5.304,2026-02-19,3150.0
LIM-00063,Jesús María,-12.063114804951326,-77.0547144803829,73.8,2,2,8,True,True,False,24,2.339,2026-05-20,3800.0
LIM-00064,San Miguel,-12.078114006339442,-77.07965787064308,112.0,3,2,5,True,False,True,6,5.523,2026-08-09,5050.0
